[1600 0 1601 4 1602 4 1603 74 1606 9 1608 1614 2401 1000 2402  F
2406 2 2407  F 2408  F 2409  T 2650  T 2651 2 2800  F 2803  T
2804  F 3201  F 3203  F 3204  T 3205  F 3206  F 3207  F 3208  F
3400  T 3901 1000 3902  T 3905  F 4002  F 4250  T 4251  F 4252  F
4253  F 4254  F 4255  T 4256  T 4257  F 4275  F 4276  T 4277  F
4278  F 4279  F 4280  F 4281  F 4283  F 4284  F 4285  F 4286  F
4287 697 4450  T 4750 3 4751  F 4752  T 4753  F 4754  F 4755  F
4756  F 4757  F 4758  F 4850  F 4851  F 4852  F 4855  F 4857  F
4858  T 4859  F 4860 14 5300 0 5305  F 5306 0 5307  F 8902 "16777215"
8903 "186" 8904 "43" 8905 "1575" 8906 "989" 8907 "1215" 8908 "-1"
9003 3 9029  F 9030 12 9032      1.458 9036  F 9040  F 9041  T
9042 1 9043 "  117.3   63.8" 9062  T 9063  T 9067 9070 9092 1
9093  T 9098  T 9314 "/Users/jpsember/workspace/uhull/src/uhull/halfplanes.dat"
9324  F 9325  F ]
seg 0      40.727    31.043     61.481    32.924
seg 0      77.510    53.391     66.139    69.428
seg 0      56.475    67.594     37.093    69.517
seg 0      50.856    50.370     41.048    43.748
seg 0      87.468    15.431     83.193    37.546
seg 0      63.040    66.485     44.811    76.652
seg 0      76.724    24.488     96.645    36.422
seg 0      72.026    36.577     75.624    51.376
seg 0      91.186    41.023     91.839    59.739
